generated,expected,generated_md,original_md
"Because Ukraine is brimming with ""Nazi ideas""","Because Ukraine is brimming with ""Nazi ideas,"" the author says.","(MD0)Because Ukraine is brimming with ""(MD1)Nazi ideas (MD1)"" (MD0)",(MD0)Because Ukraine is full of “(MD1)Nazi ideas(MD1).”(MD0)
"0 Ever since the country ousted its pro-Putin leader and installed a highly popular comedian in charge , Putin says Ukraine is a threat to his mighty empire.",Putin has said that Ukraine is a threat to his mighty nation ever since the country deposed its pro-Putin leader and put a highly popular Jewish comedian in charge.,"(MD0) 0 (MD0) Ever since the country ousted its pro-Putin leader and (MD1) installed a highly popular (MD2) comedian in charge (MD1), Putin says Ukraine is a threat to his mighty empire. (MD0)","(MD0)Ever since the nation ousted its pro-Putin leader and (MD1)put a hugely-popular (MD2)Jewish(MD2) comedian in charge(MD1), Putin says he feels like Ukraine is a threat to his gigantic nation.(MD0)"
Poor boy,Poor boy.,(MD0) Poor boy (MD0),(MD0)Poor boy.(MD0)
"He's worried that if Ukraine joins NATO, he'll have a full-scale adversary on his doorstep.","He's worried that if Ukraine joins NATO, he'll have a full-scale adversary on his doorstep.","(MD0) He's worried that if Ukraine joins NATO, he'll have a full-scale adversary on his doorstep. (MD0)","(MD0)He’s worried that if Ukraine joins NATO, he’ll have a full-scale enemy on his doorstep.(MD0)"
But he refuses to accept that it will work both directions.,"However, he denies that it is both positive and negative.",(MD0)(MD0) But he refuses to accept that it will work both directions (MD0).,(MD0)(MD1)But he refuses to realize that it goes both ways(MD1).(MD0)
"0:NATO hasn't invaded Russia since its inception , but Russia has constantly robbed land from its neighbors.","NATO hasn't attacked Russia once since its inception, but Russia has regularly stolen property from its neighbors.","(MD0) 0:NATO hasn't invaded Russia (MD1) since its inception (MD1), but Russia has (MD2)constantly(MD2) robbed land from its neighbors. (MD0)","(MD0)NATO hasn’t invaded Russia (MD1)once(MD1) since its creation, but Russia has (MD2)constantly(MD2) stolen land from its neighbors.(MD0)"
MD0) Can you blame them for joining a joint defense alliance when they are attacked by an actual attacker?,"When an actual attacker is attacking their homeland, can you blame them for joining a joint defense alliance?",MD0) Can you blame them for joining a joint defense alliance when they are attacked (MD1) by an actual (MD1) attacker (MD1)? (MD0),(MD0)Can you blame them for joining a mutual defense alliance when there is an (MD1)actual(MD1) attacker (MD1)actually(MD1) attacking their homeland?(MD0)
Nations that believe in democracy have the right to participate in NATO.,Nations that believe they are in danger have the right to join NATO.,(MD0) Nations that believe in democracy have the right to participate in NATO. (MD0),(MD0)Nations that feel threatened have a sovereign right to join NATO.(MD0)
This does not mean Russia has the right to attack them.,This does not mean Russia has the right to sue them.,(MD0) This does not mean Russia has the right to attack them. (MD0),(MD0)This doesn’t give Russia the right to attack them.(MD0)
It gives them the right to defend themselves.,They have the right to defend themselves.,(MD0) It gives them the right to defend themselves. (MD0),(MD0)It gives them the right to defend themselves.(MD0)
"MD0) But again, NATO isn't attacking Russia.","However, NATO isn't attacking Russia.","MD0) But again, NATO isn't attacking Russia. (MD0)","(MD0)But again, NATO isn’t attacking Russia.(MD0)"
"They aren't stupid, not stupid.",They aren't stupid.,"They aren't stupid, not stupid. (MD0)",(MD0)They aren’t stupid.(MD0)
"The stated aim of Putin's ""unique project"" is to demilitarize and de-Nazify the Jewish-led world.","Putin's ""unique project"" is designed to demilitarize and destabilize the Jewish-led world.","(MD0) The stated aim of Putin's ""unique project"" is to (MD1)demilitarize and de-Nazify the Jewish-led world. (MD0)",(MD0)The stated goal of Putin’s “special operation” is to (MD1)demilitarize and de-Nazify the Jewish-led nation(MD1).(MD0)
"In other words, He wants Ukraine to be undefended by NATO so he can keep He's already stolen (","In other words, he wants Ukraine to be undefended by NATO so he can keep Crimea and the other two countries **he's already stolen.","(MD0) In other words, (MD1)He wants Ukraine to be undefended by NATO so he can keep (MD1)(MD1)(MD1)(MD1)(MD1)(MD1)(MD1)(MD1)(MD1)(MD1)He's already stolen (MD0)(MD0)(MD0)(MD1)(MD1)(MD1)(MD1)(MD1)(MD1)(MD1)(MD1)(MD1)(MD1)(MD1)(MD1)(MD1)(MD1)(MD1)(MD1)(",(MD0)In other words: (MD1)He wants Ukraine to remain undefended by NATO so he can keep(MD1) (MD2)(MD1)Crimea(MD1)(MD2) (MD1)and the(MD1) (MD3)(MD1)other two regions(MD1)(MD3) **he’s already stolen.(MD0)
,**,(MD0) (MD0) (MD0) (MD0) (MD0) (MD0),(MD0)**(MD0)
(,"(Never forget that warlords have been fighting for the throne's Crimea for more than 2,000 years.)",(MD0)(MD0)(MD0)(MD0)(MD0)(MD0)(MD0)(MD0)(MD0)(MD0)(MD0)(MD0)(MD0)(MD0)(MD0)(MD0)(MD0)(MD0)(MD0)(MD0)(MD0)(MD0)(MD0)(MD0)(MD0)(MD0)(MD0)(MD1)(MD1)(MD1)(MD1)(,"(MD0)(Never forget that warlords have been fighting for control of the highly-strategic Crimea for more than (MD1)(MD2)2,000 years(MD2)(MD1).)(MD0)"
"Ultimately, Putin intends to own the entirety of Ukraine.","In the end, Putin intends to own the entirety of Ukraine.","(MD0) Ultimately, Putin intends to own the entirety of Ukraine. (MD0)","(MD0)Ultimately, Putin wants to own the entirety of Ukraine.(MD0)"
Why? Why? Why? Why?,Why?,(MD0) Why? (MD0) Why? (MD0) Why? (MD0) Why?,(MD0)Why?(MD0)
"MD0)Because he needs full access to the Black Sea, he wants to dive into the sea.",Because he needs unfettered access to the Black Sea.,"MD0)Because he needs full access to the Black Sea, he wants to dive into the sea. (MD0)",(MD0)Because he wants full access to the Black Sea.(MD0)
Ports mean money and electricity — more Ukraine pipelines are bringing a lot of Russian energy products to market.,Ports carry money and electricity — more Ukraine pipelines move a slew of Russian energy products to market.,(MD0) Ports mean money and electricity — more Ukraine pipelines are bringing a (MD1)lot(MD1) of Russian energy products to market. (MD0),(MD0)Ports mean money and power — plus Ukraine pipelines move a (MD1)lot(MD1) of Russian energy products to market.(MD0)
"MD0) 0 In addition to obtaining the largest nuclear power plant in Europe and 90% of American's semiconductor-grade neon , Putin also needs wheat, and Ukraine will be their southern breadbasket, and as history has shown, Russia has no reservations about starving millions of Ukrainians to death to feed its people.","Putin wants their wheat, not the largest nuclear power plant in Europe and 90% of American's semiconductor-grade neon, and with 70% crop coverage, Ukraine will be their southern breadbasket, and Russia has no reservations about starving millions of Ukrainians to death to feed its people, as history has shown.","MD0) 0 (MD0) In addition to obtaining the largest nuclear power plant in Europe and (MD1)90% of American's semiconductor-grade neon (MD1), Putin also needs wheat, and Ukraine will be their southern breadbasket, and as history has shown, Russia has no reservations about (MD3)starving millions of Ukrainians to death (MD3) to feed its people.","(MD0)In addition to gaining the biggest nuclear power plant in Europe and (MD1)90% of American’s semiconductor-grade neon(MD1), Putin also wants their wheat — with (MD2)70% crop coverage(MD2), Ukraine would be their southern breadbasket, and as history has proven, Russia has no qualms about (MD3)starving millions of Ukrainians to death(MD3) to feed its people.(MD0)"
"At the end of the day, this is all about greed and control",This is all about greed and control at the end of the day.,"(MD0) At the end of the day, this is all about (MD1)greed and control (MD1)(MD0)","(MD0)At the end of the day, this is all about (MD1)greed and control(MD1).(MD0)"
Putin wants Russia to own everything it has ever owned in history,Putin wants Russia to have everything it has ever owned in history.,(MD0)Putin wants Russia to own (MD1)everything it has ever owned in history (MD1) (MD0),(MD0)Putin wants Russia to own (MD1)everything it has ever owned in history(MD1).(MD0)
"MD0) He's 70 this year, and he wants to rebuild the empire so he can be remembered in history as his hero","He is 70 this year, and he wants to rebuild the empire so he can be remembered in history as his hero Peter the Great.","MD0) He's 70 this year, and he wants to rebuild the empire so he can be remembered in history as his hero (MD1) (MD0)","(MD0)He turns 70 this year, and he wants to restore the empire so he can be remembered in history like his hero (MD1)Peter the Great(MD1).(MD0)"
And Putin is able to murder thousands of Ukrainian families in order to get it.,And Putin is willing to murder thousands of Ukrainian families in order to get it.,(MD0) And Putin is able to murder thousands of Ukrainian families in order to get it. (MD0),(MD0)And Putin is willing to murder thousands of Ukrainian families to get it.(MD0)
This whole story began when a Jewish TV comedian played a teacher who was elected President after going on a rant about corruption.,This whole story began when a Jewish TV comedian played a teacher who was elected President after going on a rant about corruption.,(MD0) This whole story began when (MD1) a Jewish TV comedian played a teacher who was elected President after going on a rant about corruption (MD0).,(MD0)This whole saga started when (MD1)a Jewish TV comedian played a teacher who gets elected President after going on a rant about corruption(MD1).(MD0)
"The hit sitcom was named Servant of the People , and now it is the most influential centrist political party.","Servant of the People was the hit sitcom, and now it is the leading centrist political party.","(MD0) The hit sitcom was named (MD1)Servant of the People (MD1), and now it is the most influential (MD2)centrist political party (MD2). (MD0)","(MD0)The hit sitcom was called (MD1)Servant of the People(MD1), and now it’s the leading (MD2)centrist political party(MD2).(MD0)"
That's right — President Zelenskyy captured Ukrainian citizens' hearts and minds because he cast a picture of a fairer world.,That's right — President Zelenskyy captured Ukrainian citizens' hearts and minds because he brought a sense of a fairer world.,(MD0) That's right — President Zelenskyy captured Ukrainian citizens' hearts and minds because he (MD1) cast a picture of a fairer world (MD0).,(MD0)That’s right — President Zelenskyy won the hearts and minds of Ukrainian citizens because he (MD1)cast a vision of a fairer world(MD1).(MD0)
"And if there is one thing that tyrants, corporatists, monopolists, and warlords loathe, it's a fair fight.","And if there is one thing that tyrants, corporatists, monopolists, and warlords loathe, it's a fair fight.","(MD0) And if there is one thing that tyrants, corporatists, monopolists, and warlords loathe, it's a fair fight. (MD0)","(MD0)And if there’s one thing that dictators, corporatists, monopolists, and warlords hate, it’s a fair fight.(MD0)"
"MD0: Now, Zelenskyy and his people will pay for it with their lives, so that one of the world's most corrupt leaders will have even more influence.","Now, Zelenskyy and his people will pay for it with their lives, ensuring that one of the world's most corrupt leaders wields even more influence.","MD0: Now, Zelenskyy and his people will pay for it with their lives, so that one of the world's most corrupt leaders will have even more influence. (MD0)","(MD0)Now, Zelenskyy and his people will pay for it with their lives, so that one of the most corrupt leaders in history can amass even more power.(MD0)"
"MD0)Meanwhile, the West will respond with economic sanctions aimed at cripple the Russian economy","In the meantime, the West will respond with economic sanctions that will cripple the Russian economy.","MD0)Meanwhile, the West will respond with economic sanctions aimed at (MD1)cripple the Russian economy (MD1)(MD0)","(MD0)Meanwhile, the West will respond with economic sanctions meant to (MD1)cripple the Russian economy(MD1).(MD0)"
Ch!naChris will most likely step in to assist Russia — or at least help the wealthiest in Russia.,Ch!na will most likely step in to assist Russia — or at least help the country's richest.,(MD0) Ch!na(MD1)Chris(MD1) will most likely step in to assist Russia — or at least help the (MD2)wealthiest(MD2) in Russia. (MD0),"(MD0)(MD1)Ch!na(MD1) will likely step in to help Russia — or, at least, help the (MD2)wealthiest(MD2) in Russia.(MD0)"
"A hard crash or long-term depression will cause untold suffering for our Russian brothers and sisters, particularly the poor and working class.","A hard crash or long-term depression will bring untold suffering to our Russian brothers and sisters, particularly the poor and working class.","(MD0) A hard crash or long-term depression will cause untold suffering for our Russian brothers and sisters, particularly the poor and working class.","(MD0)A hard crash or long-term depression will cause untold suffering for our Russian brothers and sisters, specifically the poor and working-class.(MD0)"
"MD0: Meanwhile, Russian oligarchs will continue to sip champagne and dine caviar.","In the meantime, Russian oligarchs will continue to sip champagne and dine caviar.","MD0: (MD0)Meanwhile, Russian oligarchs will continue to sip champagne and dine caviar. (MD0)","(MD0)Meanwhile, Russian oligarchs will continue to sip champagne and eat caviar.(MD0)"
"And if Russia cuts off oil, gas, and fertilizer to the West, fuel and food prices could rise even higher than they already are, possibly leading to more inflation and possibly a recession.","And if Russia cuts off oil, gas, and fertilizer to the West, fuel and food prices could rise even higher than they already are, possibly leading to more inflation and possibly a slowdown.","(MD0) And if Russia cuts off oil, gas, and fertilizer to the West, fuel and food prices could rise even higher than they already are, possibly leading to more inflation and possibly a recession. (MD0)","(MD0)And if Russia cuts off oil, gas, and fertilizer to the West, fuel and food prices could soar even higher than they already are, causing more inflation, and potentially a recession.(MD0)"
All this has contributed to the poor and working-class in the West's suffering and hardship.,All of this causes more poverty and suffering for the poor and working-class in the West.,(MD0) All this has contributed to the poor and working-class in the West's suffering and hardship. (MD0),(MD0)All this creates even more suffering and hardship for the poor and working-class in the West.(MD0)
Why? Why? Why? Why?,Why?,(MD0) Why? (MD0) Why? (MD0) Why? (MD0) Why?,(MD0)Why?(MD0)
So a billionaire sociopath can get his pound of dirt.,So a billionaire sociopath can get his pound of dirt.,(MD0) So a billionaire sociopath can get his pound of dirt. (MD0),(MD0)So a billionaire sociopath can get his pound of dirt.(MD0)
"Yes, Russia is just following America's playbook.","Yes, Russia is just following America's playbook.","(MD0) Yes, Russia is just following America's playbook. (MD0)","(MD0)Yes, Russia is just following America’s playbook.(MD0)"
"Some of us agree that the war is morally wrong, no matter who perpetrates it.","Any of us agree that all war is morally wrong, no matter who perpetrates it.","(MD0) Some of us agree that the (MD1) war is morally wrong, no matter who perpetrates it. (MD0)","(MD0)Some of us believe that (MD1)all(MD1) war is morally wrong, no matter who perpetrates it.(MD0)"
But let's not pretend the West is innocent right now.,But let's not pretend that the West is innocent right now.,(MD0) But let's not pretend the West is innocent right now. (MD0),(MD0)But let’s not pretend the West is innocent right now.(MD0)
"After the biggest invasion in Europe since WWII, the markets soared by the closing bell.",The markets soared by the closing bell after the biggest invasion in Europe since WWII.,"(MD0) After the biggest invasion in Europe since WWII, the markets soared by the closing bell. (MD0)","(MD0)After the biggest invasion in Europe since WWII, the markets rallied by the closing bell.(MD0)"
"Investors are hoping that Ukraine will fall and the Russian oil keeps flowing, according to.",Investors are hoping that Ukraine will fall and the Russian oil keeps flowing.,"(MD0)(MD0)(MD0)(MD0)Investors are hoping that Ukraine will fall and the Russian oil keeps flowing, according to (MD0)(MD0).",(MD0)(MD1)Investors are betting Ukraine falls and the Russian oil keeps flowing.(MD1)(MD0)
** Unbridled capitalists are unconcerned about human life.,**Unbridled capitalists have no concern about human life.,(MD0)** Unbridled capitalists are unconcerned about human life. (MD0),(MD0)**Unbridled capitalists do not care about human life.(MD0)
,**,(MD0) (MD0) (MD0) (MD0) (MD0) (MD0),(MD0)**(MD0)
My wife's grandmother fled as a migrant as the Russian army invaded eastern Finland at the age of five.,"As the Russian army invaded eastern Finland at the age of five, my wife's grandmother fled as a migrant.",(MD0) My wife's grandmother fled as a migrant as the Russian army invaded eastern Finland at the age of five. (MD0),"(MD0)At the age of five, my wife’s grandmother fled as a refugee as the Russian army invaded eastern Finland.(MD0)"
Karelia is still in Russian hands eight years later.,Karelia is now in Russian hands eighty years later.,(MD0) Karelia is still in Russian hands eight years later. (MD0),"(MD0)Eighty years later, Karelia is still in Russian hands.(MD0)"
"Today, Russia invaded Ukraine to solidify its hold on two eastern regions.",Russia invaded Ukraine today to solidify its hold on two eastern regions.,"(MD0)Today, Russia invaded Ukraine to solidify its hold on two eastern regions. (MD0)","(MD0)Today, Russia invaded Ukraine to solidify its grip on two eastern regions.(MD0)"
We've learned nothing from history,We've learned nothing from history.,(MD0) We've learned nothing from history (MD0),(MD0)**We have learned nothing from history.(MD0)
,**,(MD0) (MD0) (MD0) (MD0) (MD0) (MD0),(MD0)**(MD0)
Repeating the past won't fix the future.,Repeating the past won't help.,(MD0) Repeating the past won't fix the future. (MD0),(MD0)Repeating the past won’t fix the future.(MD0)
Here's what we should try instead:,Here's a look at what we should do instead:,(MD0)Here's what we should try instead: (MD0),(MD0)Here’s what we should try instead:(MD0)
1. 1. 0,1.,(MD0) 1. (MD0) 1. (MD0) 0 (MD0),(MD0)1.(MD0)
Pledge and/or meditate about what actions we should take with our families.,Pray and/or meditate about what actions we should take with our families.,(MD0) Pledge and/or meditate about what actions we should take with our families. (MD0),(MD0)Pray and/or meditate about what actions we are to personally take with our families.(MD0)
2. 0,2.,(MD0) 2.(MD0) (MD0) 0 (MD0),(MD0)2.(MD0)
"Stop buying Russian products (vodka obviously), but more importantly, pay the extra to switch from oil/gas to hydro/solar/geothermal/etc.)","Avoid purchasing Russian products (vodka), but more importantly, pay the extra to switch from oil/gas to hydro/solar/geothermal/etc.)","(MD0) Stop buying Russian products (vodka obviously), but more importantly, pay the extra to switch from oil/gas to hydro/solar/geothermal/etc.) (MD0)","(MD0)Stop buying Russian products (vodka obviously, but more importantly, pay the extra to switch from oil/gas to hydro/solar/geothermal/etc.)(MD0)"
3. 3..,3.,(MD0)3. (MD0) 3. (MD0).,(MD0)3.(MD0)
Stop wasting money on unnecessary and selfish stuff and give it to Ukrainian charities.,Stop wasting money on unnecessary and selfish stuff and give it to Ukrainian charities.,(MD0) Stop wasting money on unnecessary and selfish stuff and give it to Ukrainian charities. (MD0),(MD0)Stop wasting money on stupid and selfish stuff and give it to aid organizations in Ukraine.(MD0)
(,Here's a rundown of the 35+ destinations you should support.,(MD0)(MD0)(MD0)(MD0)(MD0)(MD0)(MD0)(MD0)(MD0)(MD0)(MD0)(MD0)(MD0)(MD0)(MD0)(MD0)(MD0)(MD0)(MD0)(MD0)(MD0)(MD0)(MD0)(MD0)(MD0)(MD0)(MD0)(MD0)(MD0)(MD0)(,(MD0)(MD0)(MD0)(MD1)(MD2)(MD3)Here’s a list of 35+ places you can support(MD3)(MD2).(MD1)(MD0)(MD0)(MD0)
4 4.0 4.0 4.0,4.,(MD0)4 (MD0) 4.0 (MD0) 4.0 (MD0) 4.0 (MD0),(MD0)4.(MD0)
"If you're looking for a unique way to protest, grab some friends, dial up the media, and shake the flags in front of your local Russian embassy.","If you're looking for a unique way to protest, make sure you're around the phone, and shake the flags outside your local Russian embassy.","(MD0) If you're looking for a unique way to protest, grab some friends, dial up the media, and shake the flags in front of your local Russian embassy. (MD0)","(MD0)If you’re the protesting type, grab some friends, call up the media, and go shake signs in front of your local Russian embassy.(MD0)"
5. 5.,5.,(MD0) 5. (MD0) 5. (MD0),(MD0)5.(MD0)
Get ready to welcome refugees.,Prepare to welcome refugees.,(MD0) Get ready to welcome refugees. (MD0),(MD0)Get ready to warmly welcome refugees.(MD0)
"My friends, the More war will not fix this planet or change corrupt hearts.","My fellows, more war will not fix this planet or change corrupt hearts.","(MD0) My friends, the More war will not fix this planet or change corrupt hearts. (MD0)","(MD0)More war won’t fix this planet or change corrupt hearts, my friends.(MD0)"
Only love will do the trick.,Only love will do the trick.,(MD0) Only love will do the trick. (MD0),(MD0)Only love can do the trick.(MD0)
How Long Will the War in Ukraine Last? How Long Will the War in Ukraine Last?,How Long Will the War in Ukraine Last?,(MD0)(MD1)(MD1)How Long Will the War in Ukraine Last? (MD2)(MD1)(MD1)(MD0)(MD0)(MD0)(MD1)(MD1)(MD1)How Long Will the War in Ukraine Last? (MD2)(MD1)(MD1)(MD0)(MD0)(MD0)(MD1)(MD1)(MD1)(MD1)(MD1)(MD1)(MD0)(MD0)(MD0)(MD1)(MD1)(MD1)(MD1),(MD0)(MD1)(MD2)How Long Will the War in Ukraine Last?(MD2)(MD1)(MD0)
How Will The War In Ukraine Come To An End? How Will The War In Ukraine Come To An End? How Will The War In Ukraine Come To An End? (MD,How Can The War In Ukraine Come To An End?,(MD0)(MD1)(MD1)How Will The War In Ukraine Come To An End? (MD2)(MD1)(MD1)(MD0)How Will The War In Ukraine Come To An End? (MD1)(MD1)(MD0)(MD0)(MD0)(MD1)How Will The War In Ukraine Come To An End? (MD2)(MD1)(MD1)(MD1)(MD0)(MD0)(MD0)(MD1)(MD1)(MD1)(MD1)(MD1)(MD1)(MD,(MD0)(MD1)(MD2)How Will The War in Ukraine End?(MD2)(MD1)(MD0)
Here are 35 Ways You Can Help Ukraine Right Now(MD0,Here are 35 Ways You Can Help Ukraine Right Now.,(MD0)(MD1)(MD1)(MD1)(MD1)(MD1)(MD1)(MD1)(MD1)(MD0)(MD0)(MD1)(MD1)(MD1)(MD2)Here are 35 Ways You Can Help Ukraine Right Now(MD2)(MD2)(MD1)(MD0)(MD0)(MD0)(MD0)(MD0)(MD0)(MD0)(MD1)(MD1)(MD1)(MD0)(MD0)(MD0)(MD0,(MD0)(MD1)(MD2)Here are 35+ Ways You Can Help Ukraine Right Now(MD2)(MD1)(MD0)
"Join nearly 18,000 people who (","Join over 18,000 people on Medium + to get unlimited access to all articles and podcasts**.","(MD0) (MD1)Join nearly 18,000 people who (MD1)(MD1)(MD1)(MD1)(MD1)(MD1)(MD1)(MD1)(MD1)(MD1)(MD1)(MD1)(MD1)(MD1)(MD1)(MD1)(MD1)(MD1)(MD1)(MD1)(MD1)(MD1)(MD1)(MD1)(MD1)(MD1)(MD1)(MD1)(MD1)(MD1)(MD1)(MD1)(MD1)(MD1)(MD1)(","(MD0)(MD1)Join nearly 18,000 people who(MD1) (MD2)(MD1)follow Jared on Medium(MD1)(MD2) (MD1)+ get(MD1) (MD3)(MD1)unlimited free access to all articles and podcasts(MD1)(MD3)**.(MD0)"
,**,(MD0) (MD0) (MD0) (MD0) (MD0) (MD0),(MD0)**(MD0)
