generated,expected,generated_md,original_md
Baseball - Baseball - Baseball - Baseball - Baseball - Baseball - Baseball - Baseball - Baseball - Baseball - Baseball - Baseball,**Basketball.,Baseball (MD0) - Baseball (MD0) - Baseball (MD0) - Baseball (MD0) - Baseball (MD0) - Baseball (MD0) - Baseball (MD0) - Baseball (MD0) - Baseball (MD0) - Baseball (MD0) - Baseball (MD0) - Baseball (MD0),(MD0)**_Basketball.(MD0)
Is. Is. Is. Is. Is.,Is.,Is. (MD0) Is. (MD0) Is. (MD0) Is. (MD0) Is.,(MD0)Is.(MD0)
Art._ Art._ Art._,Art._**,Art._(MD0) Art._(MD0) (MD0) Art._(MD0),(MD0)Art._**(MD0)
The Golden State Warriors returned to the Los Angeles Lakers for a prime-time game on national television last night.,The Golden State Warriors returned to the Los Angeles Lakers for a prime-time game on national television last night.,(MD0) The Golden State Warriors returned to the Los Angeles Lakers for a prime-time game on national television last night. (MD0),"(MD0)Last night, the Golden State Warriors visited the Los Angeles Lakers for a prime-time game on national television.(MD0)"
"Despite a recent decline, the Warriors have been one of the league's best teams all year; I wish I could say the same for the Lakers.","Despite a recent slump, the Warriors have been one of the league's best teams all year; I wish I could say the same for the Lakers.","Despite a recent decline, the Warriors have been one of the league's best teams all year; I wish I could say the same for the Lakers. (MD0)",(MD0)The Warriors have been one of the league’s top teams all year despite a recent slide; I wish I could say the same for the Lakers.(MD0)
"MD0) Despite having enough talent to hold a playoff spot, the Lakers have been abysmal; a lack of continuity and chemistry among their roster is evident, and the team is clinging to their playoff lives.","Despite having enough talent to hold a playoff spot, the Lakers have been abysmal; a lack of continuity and chemistry among their roster is evident, and the team is clinging to their playoff lives.","MD0) Despite having enough talent to hold a playoff spot, the Lakers have been abysmal; a lack of continuity and chemistry among their roster is evident, and the team is clinging to their playoff lives. (MD0)","(MD0)Despite having enough talent to hold a playoff spot, the Lakers have been abysmal; lack of continuity and chemistry among their roster is apparent and the team is clinging onto their playoff lives.(MD0)"
"The Lakers are led by an all-time talent and resume in LeBron James, who has put together a spectacular show in his 19th season.","In LeBron James, who has put together a spectacular appearance in his 19th-season, the Lakers are led by an all-time talent and resume.","(MD0) The Lakers are led by an all-time talent and resume in LeBron James, who has put together a spectacular show in his 19th season. (MD0)","(MD0)The Lakers are led by an all-time talent and resume in LeBron James, who’s put together a phenomenal performance in his 19th-season.(MD0)"
"And if this Lakers team wins the night after night, it will be a long night.","Nonetheless, even at 37, this Lakers team will not win the night after night.","(MD0) And if this Lakers team wins the night after night, it will be a long night. (MD0)","(MD0)Still, at age 37, even he cannot will this Lakers team to win night after night.(MD0)"
"It's a sad reality for a fanbase that is used to championships — anything less than that is a loss of a season, particularly if you have LeBron James on your team.","It's a sad reality for a fanbase that is used to championships — anything less than that is a loss of a season, particularly if you have LeBron James on your team.","(MD0) It's a sad reality for a fanbase that is used to championships — anything less than that is a loss of a season, particularly if you have LeBron James on your team.","(MD0)It’s a terrible reality for a fanbase that’s accustomed to championships — anything short of that is a failure of a season, especially when you’ve got LeBron James on your team.(MD0)"
"And for the most ardent fans, this Lakers season is as good as ever.","And for the most ardent fans, the Lakers season is as good as ever.","(MD0) And for the most ardent fans, this Lakers season is as good as ever. (MD0)","(MD0)Even for the most optimistic fans, this Lakers season is as good as over.(MD0)"
"MD0) Well, — In my opinion, it all changed against the Warriors last night.","Well, that all changed against the Warriors last night, according to me.","MD0) Well, — In my opinion, it all changed against the Warriors last night. (MD0)","(MD0)Well — In my opinion, that all changed last night against the Warriors.(MD0)"
Golden State was the most popular bettors among bettors.,Golden State was the most popular bettors among bettors.,(MD0) Golden State was the most popular bettors among bettors. (MD0),(MD0)Golden State was the heavy favorite for bettors.(MD0)
All the actors were out in LA for this matchup.,"For this matchup, the actors were all out in LA.",(MD0) All the actors were out in LA for this matchup. (MD0),(MD0)All the stars were out in LA for this matchup.(MD0)
"In other words, the stage was set for a masterful display.","In other words, the stage was set for a masterful performance.","(MD0) In other words, the stage was set for a masterful display. (MD0)","(MD0)In other words, the stage was set for a masterful performance.(MD0)"
"The Warriors were the most predictable result and defeated them by 20 points, adding to the misery of this season.","The Warriors came into the Lakers arena and defeated them by 20 points, adding to the season's misery.","(MD0) The Warriors were the most predictable result and defeated them by 20 points, adding to the misery of this season. (MD0)","(MD0)The most predictable outcome was the Warriors coming into the Lakers arena and beating them by 20 points, simply piling onto the misery of this season.(MD0)"
"Queue in: The greatest player of our time, and perhaps of all time.","Queue in: The greatest player of our time, and perhaps of all time.","(MD0)Queue in: The greatest player of our time, and perhaps of all time. (MD0)","(MD0)Queue in: The greatest player of our generation, and arguably of all time.(MD0)"
He had other things in mind.,He had other things in mind.,(MD0) He had other things in mind. (MD0),(MD0)He had other things in mind.(MD0)
"MD0) Mr. James put together his best Lakers performance in year 19 — which, to be fair, was more like year 22 — and at age 37, he put together his best Lakers performance on 61% shooting.","Mr. James put together his best Lakers result in year 19 — which, to be fair, was more like year 22 if you include all of the playoff games and mileage — and at age 37, he scored 51% on 61% shooting.","MD0) Mr. James put together his best Lakers performance in year 19 — which, to be fair, was more like year 22 — and at age 37, he put together his best Lakers performance on 61% shooting. (MD0)","(MD0)In year 19 — which, to be fair is more like year 22 if you account for all of the playoff games and mileage — and at age 37, Mr. James put together his greatest Lakers performance as he logged 56 points on 61% shooting.(MD0)"
The Lakers started the game hot before falling down double-digits midway through the game; exactly what fans hoped for based on how the season had gone.,The Lakers sparked the game before falling down double-digits midway through the game; exactly what fans hoped for based on how the season had gone.,(MD0) The Lakers started the game hot before falling down double-digits midway through the game; exactly what fans hoped for based on how the season had gone. (MD0),(MD0)The Lakers started the game hot before they fell down double-digits midway through the game; exactly what fans expected based on how this season has gone.(MD0)
LeBron was battling all game and had amassed 40 points through three quarters.,LeBron was battling all game and had amassed 40 points through three quarters.,(MD0) LeBron was battling all game and had amassed 40 points through three quarters. (MD0),(MD0)LeBron was attacking all game and had amassed 40 points through 3 quarters.(MD0)
The Lakers were trailing by a few points but the arena felt the heat of the game.,The Lakers were trailing by a few points but the arena felt the heat of the game.,(MD0) The Lakers were trailing by a few points but the arena felt the heat of the game. (MD0),(MD0)The Lakers were trailing by a few points still and the arena felt the pressure of the game.(MD0)
MD0) The Warriors went on a run and were ahead by 6 points at the start of the 4th; a 6-point deficit for the Lakers now looks like 20 points.,The Warriors went on a run and were ahead by 6 points at the start of the 4th; a 6-point deficit for the Lakers now looks like 20 points.,MD0) The Warriors went on a run and were ahead by 6 points at the start of the 4th; a 6-point deficit for the Lakers now looks like 20 points. (MD0),"(MD0)At the start of the 4th, the Warriors went on a run and were ahead by 6 points; a 6-point deficit for the Lakers nowadays feels like 20 points.(MD0)"
James' tense appearance was in jeopardy.,James' tense appearance was in jeopardy.,(MD0) James' tense appearance was in jeopardy. (MD0),(MD0)The heated performance of James was in jeopardy.(MD0)
The next nine minutes of basketball were straight out of a movie.,The next nine minutes of basketball were straight out of a movie.,(MD0) The next nine minutes of basketball were straight out of a movie. (MD0),(MD0)The next 9 minutes of basketball was straight out of a movie.(MD0)
James stepped into the game and launched three 3-point bombs from way downtown to tie it up.,James got into the game and launched three 3-point bombs from way downtown to tie it up.,(MD0) James stepped into the game and launched three 3-point bombs from way downtown to tie it up. (MD0),(MD0)James checked into the game and unleashed three consecutive 3-point bombs from way downtown to tie it up.(MD0)
The arena went wild as everyone was in awe of what they were seeing.,Everyone was in awe of what they were seeing.,(MD0) The arena went wild as everyone was in awe of what they were seeing. (MD0),(MD0)The arena went wild as everyone was in awe of what they were witnessing.(MD0)
He's now up to 49 points and the mood had completely changed — the Lakers could have won this game.,"He's up to 49 points now, and the mood has completely changed — the Lakers could have won this game.",(MD0) He's now up to 49 points and the mood had completely changed — the Lakers could have won this game. (MD0),(MD0)He’s up to 49 points now and the energy had completely shifted — the Lakers could win this game.(MD0)
"As the lead changed back and forth, both teams went back and forth for the entire quarter.",The lead changed back and forth between the two teams during the entire quarter.,"(MD0) As the lead changed back and forth, both teams went back and forth for the entire quarter. (MD0)",(MD0)Both teams went back and forth the entire quarter as the lead shifted back and forth.(MD0)
It was a playoff game atmosphere as both teams desperately needed a victory.,Both teams desperately needed a victory in this playoff game.,(MD0) It was a playoff game atmosphere as both teams desperately needed a victory. (MD0),(MD0)It was a playoff game environment as both teams desperately needed a win.(MD0)
"As the game came to an end, it was number 6 that sealed the victory.",It was number 6 that sealed the victory as the game came to an end.,"(MD0) As the game came to an end, it was number 6 that sealed the victory. (MD0)","(MD0)As the game winded down, it was number 6 that sealed the win.(MD0)"
LeBron continued his costly turnover with an alley-oop dunk so loud that I thought he was going to tear the rim down.,LeBron continued his costly turnover with an alley-oop dunk so loud that I thought he was going to tear the rim down.,(MD0) LeBron continued his costly turnover with an alley-oop dunk so loud that I thought he was going to tear the rim down. (MD0),(MD0)LeBron followed up a costly turnover with an alley-oop dunk so thunderous that I thought he was about to tear the rim down.(MD0)
"The pass seemed a bit too far to corral, but he threw down the dunk with no hesitation or reaction after; the game wasn't over.","The pass seemed a bit too far to corral, but he threw down the dunk with no hesitation or reaction after; the game wasn't over.","(MD0) The pass seemed a bit too far to corral, but he threw down the dunk with no hesitation or reaction after; the game wasn't over. (MD0)","(MD0)The pass looked a bit too far to corral, yet he threw down the dunk with no hesitation or reaction after; the game wasn’t over.(MD0)"
Bron pulled in 3 defenders and dished out a wide open Carmelo Anthony with a 3-pointer to end the game — Lakers up 6 with seconds remaining.,Bron pulled in 3 defenders and dished out a wide open Carmelo Anthony with a 3-pointer to end the game — Lakers up 6 with seconds remaining.,(MD0) Bron pulled in 3 defenders and dished out a wide open Carmelo Anthony with a 3-pointer to end the game — Lakers up 6 with seconds remaining. (MD0),"(MD0)With 30 seconds to go, Bron pulled in 3 defenders and dished out to a wide open Carmelo Anthony who drilled a 3-pointer to seal the game — Lakers up 6 with seconds left.(MD0)"
"As the audience yelled ""MVP!"" James capped off his epic game with two free-throws.","As the audience yelled ""MVP!"" James capped off his epic game with two free-throws.","(MD0) As the audience yelled ""MVP!"" James capped off his epic game with two free-throws. (MD0)",(MD0)James capped off his legendary game with 2 free-throws as the arena was yelling “MVP!(MD0)
MVP! MVP! MVP!,MVP!,(MD0) MVP! (MD0) MVP! (MD0) MVP! (MD0),(MD0)MVP!(MD0)
MVP! MVP! Finishing with 56 points.,MVP with 56 points.,(MD0) MVP! (MD0) MVP! Finishing with 56 points. (MD0),"(MD0)MVP!”, finishing with 56 points.(MD0)"
"LeBron James, who has worked on several franchises over his 19-year career, has just done it again.","LeBron James, who has worked on several franchises over his 19-year career, had to do it again.","(MD0) LeBron James, who has worked on several franchises over his 19-year career, has just done it again. (MD0)","(MD0)LeBron James, who’s carried multiple franchises all throughout his 19-year career, had just done it again.(MD0)"
"When the stakes are highest, the REAL motherfuckin' hoopers come out.","When the stakes are at their highest point, the true motherfuckin' hoopers appear.","(MD0) (MD0)(MD0)(MD0)(MD0) When the stakes are highest, the REAL motherfuckin' hoopers come out. (MD0)","(MD0)(MD1)When the stakes are the highest, that’s when the REAL motherfuckin’ hoopers show out.(MD1)(MD0)"
This victory changed the complexion of this season.,This victory changed the complexion of this season.,(MD0) This victory changed the complexion of this season. (MD0),(MD0)This win completely changed the complexion of this season.(MD0)
"The Lakers are still searching for a playoff spot, but damn, it's all real now.","The Lakers are still searching for a playoff spot, but damn, it's all real now.","(MD0) The Lakers are still searching for a playoff spot, but damn, it's all real now. (MD0)","(MD0)The Lakers are still fighting for a playoff spot but damn, everything feels real now.(MD0)"
This team's chance to make a postseason appearance seems to be real.,This team's chance to make a postseason appearance seems to be real.,(MD0) This team's chance to make a postseason appearance seems to be real. (MD0),(MD0)This team’s chance to make a postseason run feels real.(MD0)
Give him a healthy Anthony Davis and I'm giving them a fighting chance.,Give him a fighting chance and I'm sure he's a healthy Anthony Davis.,(MD0) Give him a healthy Anthony Davis and I'm giving them a fighting chance. (MD0),(MD0)Give him a healthy-enough Anthony Davis and I’m giving them a fighter’s chance.(MD0)
Who in their right mind would write off a LeBron James team?,Who in their right mind would write off a LeBron James team?,(MD0) Who in their right mind would write off a LeBron James team? (MD0),(MD0)Who in their right mind would write off a LeBron James team?(MD0)
A family friend of mine who doesn't follow basketball too closely enjoyed the luxury of attending the game in Los Angeles.,The luxury of being at the game in Los Angeles was appreciated by a family friend of mine who doesn't follow basketball too closely.,(MD0) A family friend of mine who doesn't follow basketball too closely enjoyed the luxury of attending the game in Los Angeles. (MD0),(MD0)A family member of mine who doesn’t follow basketball too closely enjoyed the luxury of being at the game in Los Angeles.(MD0)
We were all excited over the text of what had just transpired.,We were all excited over a text of what had just transpired.,(MD0) We were all excited over the text of what had just transpired. (MD0),(MD0)We were sharing our excitement over text of what had just transpired.(MD0)
"""You could feel it in the air"" after the game and city afterwards, according to her.","The game's atmosphere and city afterwards, she described as ""Magical"" and ""you could feel it on the air.""","(MD0) ""You could feel it in the air"" after the game and city afterwards, according to her. (MD0)",(MD0)She described the aura of the game and city afterwards as “Magical — you could feel it in the air”.(MD0)
The city discovered the glimmer of hope for this season.,The city discovered the glimmer of hope they needed for this season.,(MD0) The city discovered the glimmer of hope for this season. (MD0),(MD0)The city found the glimmer of hope they needed for this season.(MD0)
"That's the LeBron James effect, ladies and Gentlemen.","That's the LeBron James effect, ladies and Gentlemen.","(MD0) That's the LeBron James effect, ladies and Gentlemen. (MD0)","(MD0)Ladies and Gentlemen, that’s the LeBron James effect.(MD0)"
That's what makes basketball art.,That's what makes basketball art.,(MD0) That's what makes basketball art. (MD0),(MD0)That is what makes basketball art.(MD0)
MD0) The ability to channel such negative emotions and channel your own ability and produce an all-time appearance when the team and city need it most — it's just something you feel.,"The ability to channel such negative emotions, channel your own ability, and produce an all-time performance when the team and city need it most — it's just something you feel.",MD0) The ability to channel such negative emotions and channel your own ability and produce an all-time appearance when the team and city need it most — it's just something you feel. (MD0),"(MD0)The ability to take such negative feelings, channel into your own ability, and deliver an all-time performance when the team and city needs it most — it creates a sentiment that cannot be described with words; it’s simply something you feel.(MD0)"
Getting to that feeling.,Hold on to that feeling.,(MD0) Getting to that feeling. (MD0),(MD0)Hold onto that feeling.(MD0)
I'm not promising a title run,I am not promising a title run.,(MD0) I'm not promising a title run (MD0),(MD0)I’m not guaranteeing a title-run.(MD0)
"This team still has a few issues to solve, but if you asked most Lakers' fans before last night, you'd have a great laugh.","This team still has a few issues to address before last night, but if you asked most Lakers' fans before last night, you would have many.","(MD0) This team still has a few issues to solve, but if you asked most Lakers' fans before last night, you'd have a great laugh. (MD0)","(MD0)This team still has many issues to overcome, but if you asked most Lakers’ fans before last night,(MD0)"
"""Will this team make a deep playoff run?""",“Can this team make a deep playoff run?” says the narrator.,"(MD0) ""Will this team make a deep playoff run?"" (MD0)",(MD0)“Can this team make a deep-playoff run?”(MD0)
The majority of people would have said no.,Most people would have said no.,(MD0) The majority of people would have said no. (MD0),(MD0)Most folks would probably have said no.(MD0)
But now?,But now?,(MD0) But now? (MD0),(MD0)But now?(MD0)
"As long as LeBron is on your team, you have a chance.",You have a chance as long as LeBron is on your team.,"(MD0) As long as LeBron is on your team, you have a chance. (MD0)","(MD0)As long as you got LeBron fucking James on your team, you’ve always got a chance.(MD0)"
Godspeed Godspeed Godspeed. Godspeed Godspeed. Godspeed. Godspeed. Godspeed. Godspeed. Godspeed.,Godspeed.,(MD0) Godspeed (MD0) Godspeed (MD0) Godspeed. (MD0) Godspeed (MD0) Godspeed. (MD0) Godspeed. (MD0) Godspeed. (MD0) Godspeed. (MD0) Godspeed. (MD0) Godspeed. (MD0),(MD0)Godspeed.(MD0)
